RunNumber,Time_ms
1,341.411
2,261.953
3,189.913
4,196.970
5,213.740
6,225.417
7,185.235
8,204.372
9,201.931
10,203.857
11,213.561
12,194.474
13,184.700
14,200.227
15,203.723
16,174.825
17,160.257
18,197.556
19,212.066
20,182.542
21,197.058
22,181.032
23,392.642
24,195.701
25,145.547
26,271.257
27,184.457
28,189.828
29,187.536
30,186.147
31,195.850
32,170.168
33,164.457
34,195.811
35,254.522
36,146.558
37,196.381
38,173.109
39,167.497
40,237.274
41,180.752
42,196.865
43,161.455
44,185.085
45,194.417
46,195.116
47,188.169
48,173.839
49,190.228
50,208.713
